service_id,date,exception_type
DEC25-D02CAR-1_Weekday-SANTHB0,20260311,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260311,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260311,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260311,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260312,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260312,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260312,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260312,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260312,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260313,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260313,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260313,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260313,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260313,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260316,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260316,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260316,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260316,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260316,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260317,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260317,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260317,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260317,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260317,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260318,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260318,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260318,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260318,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260318,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260319,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260319,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260319,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260319,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260319,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260320,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260320,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260320,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260320,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260320,2
